,,,,,,,Bit 0,,VPWR_OK
CFG_BLANK1,,0x4B,,,,0x00,,,
,,,,,,,Bit 4,,TSD
,,,,,,,Bit 3,,ILIM
,,,,,,,Bit 2,,ZCD
,,,,,,,Bits 1:0,,
CFG_LATCH0,,0x4C,,,,0x00,,,
,,,,,,,Bit 5,,VOUT_FAULT
,,,,,,,Bits 4:0,,
CFG_LATCH1,,0x4D,,,,0x00,,,
,,,,,,,Bits 7:6,,ZCD_DEGLITCH
,,,,,,,Bits 5:4,,ILIM_DEGLITCH
,,,,,,,Bits 3:2,,CPCLKM_DEGLITCH
,,,,,,,Bits 1:0,,TSD_DEGLITCH
CFG_DEGLITCH0,,0x4E,,,,0xA2,,,
,,,,,,,Bits 7:6,,PX_LO_RAW
,,,,,,,Bits 5:4,,PX_LO_LATCH
,,,,,,,Bits 3:2,,VOUT_OK
,,,,,,,Bits 1:0,,VPWR_OK
CFG_DEGLITCH1,,0x4F,,,,0xAA,,,
,,,,,,,Bits 7:6,,PGATE_ON
,,,,,,,Bits 5:4,,VCD_OK
,,,,,,,Bits 3:2,,VCC_OK
,,,,,,,Bits 1:0,,VCB_OK
CFG_DEGLITCH2,,0x50,,,,0xAA,,,
,,,,,,,Bit 0,,EN_DET
CFG_DEGLITCH3,,0x51,,,,0x02,,,
,,,,,,,Bits 6:4,,DISCHG_PHASE
,,,,,,,Bit 3,,
,,,,,,,Bits 2:0,,HICCUP
CFG_PTIME0,,0x52,,,,0x00,,,
,,,,,,,Bits 6:4,,BST_CHARGE
,,,,,,,Bit 3,,
,,,,,,,Bits 2:0,,DISCHG_FLYCAP
CFG_PTIME1,,0x53,,,,0x00,,,
,,,,,,,Bits 6:4,,STEPDOWN_SOFTSTART
,,,,,,,Bit 3,,
,,,,,,,Bits 2:0,,STEPUP_SOFTSTART
CFG_PTIME2,,0x54,,,,0x00,,,
,,,,,,,Bits 6:4,,SHUTDOWN
,,,,,,,Bit 3,,
,,,,,,,Bits 2:0,,CP_START
CFG_PTIME3,,0x55,,,,0x00,,,
,,,,,,,Bits 2:0,,OFF
CFG_PTIME4,,0x56,,,,0x00,,,
,,,,,,,Bits 6:0,,CFG_I2C_ADDR
CFG_I2C,,0x57,,,,0x30,,,
,,,,,,,Bits 1:0,,DISABLE_STARTUP
CFG_START,,0x58,,,,0x01,,,
,,,,,,,Bits 3:0,,PAGE_VALID
PAGE,,0x59,,,,0x00,,,
,,,,,,,Bit 1,,NO_CLK_GATE
,,,,,,,Bit 0,,PX_LO_SEL
CFG_ETC,,0x5A,,,,0x02,,,
,,,,,,,Bits 7:0,,UNUSED0
OTP_UNUSED0,,0x60,,,,0x00,,,
,,,,,,,Bits 5:3,,ADDR
,,,,,,,Bits 2:0,,
IMAGE_ADDR,,0x7F,,,,0x00,,,
,,,,,,,Bits 7:0,,DATA0
IMAGE_DATA0,,0x80,,,,0x00,,,
,,,,,,,Bits 7:0,,DATA1
IMAGE_DATA1,,0x81,,,,0x00,,,
,,,,,,,Bits 7:0,,DATA2
IMAGE_DATA2,,0x82,,,,0x00,,,
,,,,,,,Bits 7:0,,DATA3
IMAGE_DATA3,,0x83,,,,0x00,,,
,,,,,,,Bits 7:0,,DATA4
