,,,,,,,,Bits 3:0,,BOOST_DIV
CFG_BLANK0,RW,0x4A,0,,6,,,,Regs,
,,,,,,,,Bit 5,,PGATE_ON
,,,,,,,,Bit 4,,TSD
,,,,,,,,Bit 3,,ILIM
,,,,,,,,Bit 2,,ZCD
,,,,,,,,Bit 1,,PX_LO_LATCH
,,,,,,,,Bit 0,,PX_LO_RAW
CFG_BLANK1,RW,0x4B,0,,5,,,,Regs,
,,,,,,,,Bit 4,,VCD_OK
,,,,,,,,Bit 3,,VCC_OK
,,,,,,,,Bit 2,,VCB_OK
,,,,,,,,Bit 1,,VOUT_OK
,,,,,,,,Bit 0,,VPWR_OK
CFG_LATCH0,RW,0x4C,0,,8,,,,Regs,
,,,,,,,,Bit 4,,TSD
,,,,,,,,Bit 3,,ILIM
,,,,,,,,Bit 2,,ZCD
,,,,,,,,Bits 1:0,,
CFG_LATCH1,RW,0x4D,0,,8,,,,Regs,
,,,,,,,,Bit 5,,VOUT_FAULT
,,,,,,,,Bits 4:0,,
CFG_DEGLITCH0,RW,0x4E,A2,,8,,,,Regs,
,,,,,,,,Bits 7:6,,ZCD_DEGLITCH
,,,,,,,,Bits 5:4,,ILIM_DEGLITCH
,,,,,,,,Bits 3:2,,CPCLKM_DEGLITCH
,,,,,,,,Bits 1:0,,TSD_DEGLITCH
CFG_DEGLITCH1,RW,0x4F,AA,,8,,,,Regs,
,,,,,,,,Bits 7:6,,PX_LO_RAW
,,,,,,,,Bits 5:4,,PX_LO_LATCH
,,,,,,,,Bits 3:2,,VOUT_OK
,,,,,,,,Bits 1:0,,VPWR_OK
CFG_DEGLITCH2,RW,0x50,AA,,8,,,,Regs,
,,,,,,,,Bits 7:6,,PGATE_ON
,,,,,,,,Bits 5:4,,VCD_OK
,,,,,,,,Bits 3:2,,VCC_OK
,,,,,,,,Bits 1:0,,VCB_OK
CFG_DEGLITCH3,RW,0x51,2,,1,,,,Regs,
,,,,,,,,Bit 0,,EN_DET
CFG_PTIME0,RW,0x52,0,,7,,,,Regs,
,,,,,,,,Bits 6:4,,DISCHG_PHASE
,,,,,,,,Bit 3,,
,,,,,,,,Bits 2:0,,HICCUP
CFG_PTIME1,RW,0x53,0,,7,,,,Regs,
,,,,,,,,Bits 6:4,,BST_CHARGE
,,,,,,,,Bit 3,,
,,,,,,,,Bits 2:0,,DISCHG_FLYCAP
CFG_PTIME2,RW,0x54,0,,7,,,,Regs,
,,,,,,,,Bits 6:4,,STEPDOWN_SOFTSTART
,,,,,,,,Bit 3,,
,,,,,,,,Bits 2:0,,STEPUP_SOFTSTART
CFG_PTIME3,RW,0x55,0,,7,,,,Regs,
,,,,,,,,Bits 6:4,,SHUTDOWN
,,,,,,,,Bit 3,,
,,,,,,,,Bits 2:0,,CP_START
